企業名,働き方と裁量,働き方と裁量（タグ）,組織文化,組織文化（タグ）,成長と挑戦,成長と挑戦（タグ）,価値観共鳴,価値観共鳴（タグ）,人間関係,人間関係（タグ）,顧客との接点,顧客との接点（タグ）,業務スタイル,業務スタイル（タグ）,評価と報酬,評価と報酬（タグ）,多様性と自分らしさ,多様性と自分らしさ（タグ）,安定と変化,安定と変化（タグ）,Step1,Step2,Step3,Step4,Step5,Step6,特徴・傾向（面接で重視されること等）,締切・スケジュール（任意）,例年の質問（任意）,MBTI,相性のいいMBTI,Webサイト,業界カテゴリ,企業規模,企業プロフィール,事業内容
A.T.カーニー,7,"['自由度高め', '若手も決定権あり', '役職問わず発言できる']",7,"['ボトムアップ', '失敗OK文化', '上司と距離が近い']",10,"['常に挑戦環境', '変化スピード爆速', '圧倒的成長']",8,"['ミッションに共鳴する人が多い', 'カルチャーフィット重視', '理念ドリブン']",7,"['助け合いあり', '上司も話しやすい', '協力し合う文化']",7,"['対人接点が中心', '顧客とのやり取りが日常的']",9,"['自走型プロジェクト', '0→1業務が多い', '創造力重視']",9,"['完全成果主義', 'インセンティブ大', '昇進爆速']",7,"['副業OK', '自分らしさが尊重される', '服装自由']",5,"['新旧が混在', '守りと攻めのバランス', '変化と安定が両立']",エントリー , 書類選考 , 筆記試験 , ケース面接（複数）, 内定,,論理性・戦略的思考・英語力。ケース面接で即戦力レベルが求められる。,外資コンサル枠で3月中旬〜5月が多い。,「市場規模の推計」「業界再編の提案」など。ケース＋深掘り面接。,ENTJ,"INTJ, ENTP, ENTJ, ENTP",https://www.onecareer.jp/companies/3,コンサルティング,大規模,A.T.カーニーは、世界有数の戦略系コンサルティングファームの一つです。グローバルネットワークを活かし、経営戦略・オペレーション・組織変革まで幅広い領域で、企業の成長を支援しています。自由度の高い働き方と若手にも責任ある役割を任せる文化の中で、圧倒的な成長と挑戦を経験できる環境です。,"経営戦略・M&A支援,サプライチェーン改革・業務改善コンサルティング,組織・人材開発に関する変革支援,グローバル展開・新規事業立ち上げ支援"
A-1 Pictures,6,"['裁量と指示のバランス型', '部分的に裁量あり', '部署や人によりバラつきあり']",6,"['中間的な文化', '部署により差あり', '上下関係は普通']",7,"['裁量チャレンジあり', '若手にどんどん任せる', '変化を好む']",6,"['ビジョン共感をある程度重視', '理念浸透は部署差あり']",7,"['助け合いあり', '上司も話しやすい', '協力し合う文化']",8,"['対人接点が中心', '顧客とのやり取りが日常的']",8,"['分析・提案系', '論理・創造的な業務', '柔軟に動ける']",6,"['等級制度あり', 'バランス評価', '過程も成果も見られる']",6,"['部署によって自由度差あり', 'ある程度の多様性あり']",5,"['変化と安定が両立', '守りと攻めのバランス', '新旧が混在']",エントリー , ポートフォリオ提出 , 面接2回 , 内定,,,アニメ制作現場の理解、現場力と熱意が評価される。作品提出が必須。,3月〜6月に選考実施。,「好きな作品とその理由」「現場での貢献イメージ」など。作品ベースの面接。,INFJ,"ENFP, ENTP, INFJ, INTP",https://a1p.jp/,アニメ制作,中規模,A-1 Picturesは、数々の人気アニメ作品を手がけるアニメーション制作スタジオです。作品クオリティと現場力を武器に、クリエイターが自らの創造性を発揮できる環境を整えています。熱意とチームワークを重視し、ポートフォリオによる実力評価が中心となる選考が特徴です。,"アニメーション企画・制作,映像制作およびライセンス展開,オリジナル作品のプロデュース,海外向けアニメ配信・展開"
ABCマート,4,"['裁量はあるが限定的', 'ルーティンワーク中心', '管理体制が強め']",5,"['部署により差あり', '中間的な文化', '上下関係は普通']",5,"['成長速度は普通', '基礎的な成長環境あり', '段階的に任される']",5,"['ビジョン共感をある程度重視', '理念浸透は部署差あり']",6,"['普通に良好', '人により当たり外れあり', '部署差がある']",9,"['利用者の反応が即返ってくる', '対面/電話/接客が中心', '顧客接点が業務のメイン']",6,"['安定業務＋企画もある', 'ロジカル＋作業のバランス']",5,"['等級制度あり', 'バランス評価', '過程も成果も見られる']",5,"['ある程度の多様性あり', '部署によって自由度差あり']",7,"['変化に強い', '新規事業多い', 'スピード感あり']",エントリー , 説明会 , 面接（2〜3回）, 内定,,,小売・接客への関心と人柄を重視。顧客視点の意識とチーム適応力が評価される。,3月〜6月が中心。,「印象的な接客体験」「販売員としてのやりがい」など。個人面接。,ESTJ,"ISTJ, ESTP, ESFJ, ENTJ",https://www.abc-mart.co.jp/,小売・アパレル,大規模,ABCマートは、シューズ・アパレルを中心に全国展開する大手小売企業です。現場での接客・販売を重視した実践型の育成スタイルで、チームでの協調性や顧客視点が評価されます。小売業界の中でも新規出店・海外展開に積極的で、安定感とスピード感を両立しています。,"靴・アパレルの小売・販売,オリジナルブランドの企画・展開,海外店舗展開（アジア・北米中心）,Eコマース事業"
AbemaTV,7,"['新規事業・提案OK', '若手も決定権あり', '役職問わず発言できる']",8,"['フラット', 'ボトムアップ', '上司と距離が近い']",9,"['年次不問で任される', '変化スピード爆速', '常に挑戦環境']",8,"['理念ドリブン', 'カルチャーフィット重視', 'ミッションに共鳴する人が多い']",8,"['協力し合う文化', '上司も話しやすい', '助け合いあり']",8,"['顧客とのやり取りが日常的', '対人接点が中心']",8,"['柔軟に動ける', '分析・提案系', '論理・創造的な業務']",7,"['早期昇進あり', '成果主義', '評価が昇給に直結']",8,"['副業OK', '服装自由', '自分らしさが尊重される']",5,"['変化と安定が両立', '守りと攻めのバランス', '新旧が混在']",エントリー , 書類選考 , 面談 , 面接2〜3回 , 内定,,エンタメ×テックの理解、独自視点・挑戦意欲が評価される。トレンド感覚も必要。,4月以降選考。夏前に集中する傾向。,「好きな番組とその理由」「なぜ今メディアか」など。面談＋面接形式。,ENFP,"INFJ, INTJ, ENFP, ENTP",https://abema.tv/,メディア・エンタメ,大規模,AbemaTVは、サイバーエージェントとテレビ朝日の共同出資により誕生したインターネットテレビ局です。エンタメ×テックを融合させた独自のコンテンツと、変化を恐れず挑戦を続ける企業文化が魅力です。若手でも企画提案やサービス改善に携われる環境が整っており、トレンド感覚と独自視点が求められます。,"オリジナル映像コンテンツの制作・配信,番組編成・広告運用・収益化支援,メディアプラットフォームの開発・運営,イベント・グッズ等の周辺ビジネス展開"
ADKホールディングス,7,"['新規事業・提案OK', '若手も決定権あり', '自由度高め']",7,"['上司と距離が近い', '失敗OK文化', 'ボトムアップ']",8,"['裁量チャレンジあり', '若手にどんどん任せる', '変化を好む']",7,"['カルチャーフィット重視', '理念ドリブン', 'ミッションに共鳴する人が多い']",7,"['助け合いあり', '上司も話しやすい', '協力し合う文化']",8,"['対人接点が中心', '顧客とのやり取りが日常的']",8,"['柔軟に動ける', '分析・提案系', '論理・創造的な業務']",6,"['バランス評価', '等級制度あり', '過程も成果も見られる']",7,"['服装自由', '自分らしさが尊重される', '副業OK']",5,"['新旧が混在', '変化と安定が両立', '守りと攻めのバランス']",エントリー , 書類選考 , 適性検査 , 面接2〜3回 , 内定,,広告への熱意と創造性。顧客視点と自分の意見をしっかり伝える力が問われる。,3月エントリー、4〜6月選考が多い。,「あなたが仕掛けたい広告」「これからの広告のあり方」など。個別面接＋課題あり。,ENFP,"INFJ, INTJ, ENFP, ENTP",https://www.adk.jp/,広告・マーケティング,大規模,ADKホールディングスは、日本を代表する総合広告会社の一つです。クライアントのマーケティング課題に寄り添い、デジタル×クリエイティブで価値を創出しています。理念ドリブンな文化と、ボトムアップで自由に提案できる風土が特徴です。,"広告・プロモーションの企画・運用デジタルマーケティング戦略立案ブランド戦略・コミュニケーション支援,海外マーケティング・コンテンツ開発"
Amazonジャパン,9,"['自己管理重視', '自由すぎる', 'ほぼ自走型']",7,"['上司と距離が近い', '失敗OK文化', 'フラット']",9,"['圧倒的成長', '年次不問で任される', '変化スピード爆速']",7,"['理念ドリブン', 'カルチャーフィット重視', 'ミッションに共鳴する人が多い']",7,"['上司も話しやすい', '協力し合う文化', '助け合いあり']",8,"['顧客とのやり取りが日常的', '対人接点が中心']",9,"['自走型プロジェクト', '0→1業務が多い', '創造力重視']",9,"['競争的', 'インセンティブ大', '完全成果主義']",8,"['副業OK', '服装自由', '自分らしさが尊重される']",7,"['スピード感あり', '新規事業多い', '変化に強い']",エントリー , オンライン適性 , 面接複数回 , 内定,,,リーダーシップ・論理性・データドリブン思考が評価される。行動指針への一致も重要。,通年採用型。3月〜5月が多い。,「リーダーシップ経験」「顧客起点で動いた事例」など。英語面接含むこともあり。,ENTP,"INFJ, INTP, ENTP, ENTJ",https://www.amazon.co.jp/,EC・テクノロジー,大規模,グローバルECの最前線で革新を続けるテクノロジーカンパニー。スピード感と裁量の大きさが特徴。,ECサイト「Amazon.co.jp」の運営、物流ネットワーク構築、クラウド（AWS）やPrimeサービスなど多岐に展開。
ANA,4,"['管理体制が強め', 'ルーティンワーク中心', '指示を仰ぐ文化']",6,"['部署により差あり', '上下関係は普通', '中間的な文化']",5,"['段階的に任される', '基礎的な成長環境あり', '成長速度は普通']",6,"['ビジョン共感をある程度重視', '理念浸透は部署差あり']",7,"['上司も話しやすい', '協力し合う文化', '助け合いあり']",10,"['顧客接点が業務のメイン', '利用者の反応が即返ってくる', '対面/電話/接客が中心']",6,"['ロジカル＋作業のバランス', '安定業務＋企画もある']",5,"['過程も成果も見られる', 'バランス評価', '等級制度あり']",5,"['ある程度の多様性あり', '部署によって自由度差あり']",8,"['スピード感あり', '変化に強い', '新規事業多い']",エントリー , 書類選考 , 適性検査 , 面接3回 , 内定,,おもてなし・ホスピタリティ精神と冷静な判断力。協調性と信頼感が鍵。,3月中旬〜4月上旬に集中。,「あなたにとっての信頼とは」「ANAの使命とは何か」など。集団面接・個別両方あり。,ESFJ,"ISFJ, ESTJ, ESFJ, ENFJ",https://www.ana.co.jp/,航空,大規模,日本最大級の航空会社として、安心と快適な空の旅を提供。ホスピタリティとグローバル視点が強み。,国内線・国際線航空運送、空港関連業務、マイレージサービス、旅行業など航空・観光関連事業を展開。
AngelList Japan,9,"['裁量全開', 'フルリモート可能', '自由すぎる']",8,"['ボトムアップ', 'フラット', '失敗OK文化']",9,"['常に挑戦環境', '年次不問で任される', '圧倒的成長']",8,"['理念ドリブン', 'カルチャーフィット重視', 'ミッションに共鳴する人が多い']",8,"['助け合いあり', '上司も話しやすい', '協力し合う文化']",6,"['部署により接点の濃さが異なる', '間接的に顧客へ影響']",8,"['柔軟に動ける', '論理・創造的な業務', '分析・提案系']",7,"['評価が昇給に直結', '早期昇進あり', '成果主義']",8,"['自分らしさが尊重される', '副業OK', '服装自由']",4,"['変化は慎重', '長期スパンで徐々に変わる']",エントリー , 書類選考 , 面談 , 面接2回 , 内定,,スタートアップ投資やリクルーティングへの理解と関心が評価対象。グローバル思考が必要。,海外本社採用と連動、タイミングは柔軟。,「なぜスタートアップ支援か」「投資家視点で評価するポイント」など。英語面談あり。,ENTP,"INFJ, INTP, ENTP, ENTJ",https://angel.co/,スタートアップ投資・求人,大規模,AngelListは、スタートアップ企業と投資家、求職者を結びつけるプラットフォームです。日本版であるAngelList Japanは、日本国内のスタートアップエコシステムの発展を支援しています。,
Anotherworks,8,"['若手も決定権あり', '新規事業・提案OK', '役職問わず発言できる']",8,"['失敗OK文化', 'フラット', 'ボトムアップ']",9,"['年次不問で任される', '圧倒的成長', '常に挑戦環境']",8,"['カルチャーフィット重視', '理念ドリブン', 'ミッションに共鳴する人が多い']",8,"['協力し合う文化', '助け合いあり', '上司も話しやすい']",7,"['顧客とのやり取りが日常的', '対人接点が中心']",8,"['分析・提案系', '柔軟に動ける', '論理・創造的な業務']",7,"['評価が昇給に直結', '成果主義', '早期昇進あり']",8,"['服装自由', '副業OK', '自分らしさが尊重される']",5,"['新旧が混在', '変化と安定が両立', '守りと攻めのバランス']",エントリー , 書類選考 , カジュアル面談 , 面接2〜3回 , 内定,,複業×SaaSビジネスへの理解と共感。成長意欲・スピード対応力が問われるスタートアップカルチャー。,随時募集形式で通年採用に近い。,「複業が広がる社会について」「成果にこだわった経験」など。,ENFP,"INFJ, INTJ, ENFP, ENTP",https://anotherworks.co.jp/,複業クラウド,中規模,Anotherworksは、副業・複業を希望する個人と企業をマッチングするプラットフォームを提供しています。多様な働き方を支援し、個人のスキルを最大限に活かす機会を提供しています。,副業・複業マッチングプラットフォームの運営、人材紹介、キャリア支援サービスなど。
AOKIホールディングス,4,"['指示を仰ぐ文化', '裁量はあるが限定的', 'ルーティンワーク中心']",5,"['上下関係は普通', '中間的な文化', '部署により差あり']",5,"['段階的に任される', '成長速度は普通', '基礎的な成長環境あり']",5,"['ビジョン共感をある程度重視', '理念浸透は部署差あり']",6,"['普通に良好', '人により当たり外れあり', '部署差がある']",9,"['顧客接点が業務のメイン', '利用者の反応が即返ってくる', '対面/電話/接客が中心']",5,"['ロジカル＋作業のバランス', '安定業務＋企画もある']",5,"['等級制度あり', '過程も成果も見られる', 'バランス評価']",5,"['部署によって自由度差あり', 'ある程度の多様性あり']",7,"['変化に強い', 'スピード感あり', '新規事業多い']",エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,接客・ファッション業界への関心と、清潔感や丁寧な対応力。店舗志向の人材歓迎。,3月エントリー開始、5月選考中心。,「印象に残った接客」「店舗で実現したいこと」など。,ESTJ,"ISTJ, ESTP, ESFJ, ENTJ",https://www.aoki-hd.co.jp/,アパレル,大規模,AOKIホールディングスは、紳士服の販売を中心に、ブライダル事業やエンターテインメント事業など、多角的なビジネスを展開する企業です。,紳士服・婦人服の販売、ブライダル関連サービス、カラオケボックスの運営など。
